Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,
"C10, C2, C3, C6, C8",0805,5,0.1uF,
"C5, C7, C9",0805,3,10uF,
R2,0805,1,13Ω,
R3,0805,1,10kΩ,
"S1, S2",SW_D2FC-F-7N_100M_,2,Mouse Switch,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,Rotary Encoder w/Switch,
U1,MODULE_DEV-12587,1,Arduino Pro Micro 3.3v,
U2,PMW3360,1,PMW3389DM-T3QU,
U3,SOT-23,1,XC6206P332MR-G,
