Designator,Mid X,Mid Y,Rotation,Layer
C1,131.7,-87.7,0.0,top
C2,132.6,-91.1,270.0,top
C3,132.4,-84.1,90.0,top
C4,126.0625,-87.6,0.0,top
C5,125.3,-96.3,0.0,top
C6,130.0,-91.1,270.0,top
C7,126.0375,-84.9,0.0,top
C8,125.3,-93.8,0.0,top
C9,129.8,-84.1,90.0,top
R1,149.0,-85.0,0.0,top
R2,150.4,-105.7,90.0,top
R3,131.0,-95.3,0.0,top
S1,124.0,-69.92,270.0,top
S2,156.0,-69.92,270.0,top
SW1,139.75,-72.0,0.0,top
U1,140.0,-90.0,0.0,top
U3,123.1,-90.7,0.0,top
U4,140.0,-111.0635,0.0,top
